"n","dates","x","y","mag","event_id","Cluster_Number","cluster_ref","ms_ref","sig.mag","optional"
476,121219200,9.3,45.9667,4.14,476,0,0,0,0.23,TRUE
478,121305600,13.9,41.4833,4.64,478,64,0,1,0.23,TRUE
479,121478400,10.75,44.0833,4.34,479,0,0,0,0.23,TRUE
480,121478400,11.4167,43.9833,4.26,480,0,0,0,0.4,TRUE
481,121737600,13.2,44,4.54,481,0,0,0,0.23,TRUE
482,125193600,14.7833,38.7167,5.02,482,65,0,1,0.2,TRUE
488,128217600,14.5333,39.8833,4.26,488,0,0,0,0.22,TRUE
489,128304000,12.8333,42.8,4.16,489,0,0,0,0.28,TRUE
491,128649600,15.0667,37.7167,4.44,491,66,0,1,0.23,TRUE
492,129513600,6.55,44.2167,4.44,492,0,0,0,0.23,TRUE
495,131587200,10.8,44.9,4.08,495,0,0,0,0.28,TRUE
497,135212400,9.6833,44.65,4.1,497,0,0,0,0.17,TRUE
499,138150000,10.3,45.6,4.04,499,0,0,0,0.23,TRUE
500,138409200,11.0833,43.8667,4.24,500,0,0,0,0.23,TRUE
501,139359600,16.6,42.7,4.43,501,0,0,0,0.28,TRUE
503,140655600,18.2,38.9,4.44,503,68,0,1,0.23,TRUE
504,141692400,18.7,39.7,4.07,504,0,0,0,0.23,TRUE
505,141778800,10.7,44.1,4.26,505,0,0,0,0.4,TRUE
506,143679600,15.3167,39.1333,4.57,506,0,0,0,0.18,TRUE
507,148345200,8.2833,43.4833,4.07,507,0,0,0,0.28,TRUE
508,149641200,8.8167,45.05,4.04,508,0,0,0,0.23,TRUE
510,150937200,11.0833,43.8667,4.04,510,0,0,0,0.23,TRUE
511,151369200,15.9333,41.7,4.04,511,0,0,0,0.23,TRUE
512,151455600,18.9,39.6,5.02,512,69,0,1,0.2,TRUE
513,151542000,15.2167,39.3667,4.07,513,0,0,0,0.23,TRUE
517,155174400,13,43,4.43,517,70,0,1,0.15,TRUE
520,158630400,10.7,45.5,4.37,520,0,0,0,0.19,TRUE
521,159062400,15.7833,38.2,4.63,521,71,0,1,0.16,TRUE
523,161049600,9.7833,44.3667,4.04,523,0,0,0,0.23,TRUE
524,163900800,12.6167,42.7667,4.34,524,0,0,0,0.28,TRUE
525,164847600,13.4,46.3833,4.32,525,0,0,0,0.11,TRUE
526,165193200,13.2333,38.65,4.14,526,0,0,0,0.23,TRUE
527,165798000,10.9167,44.0833,4.08,527,0,0,0,0.28,TRUE
529,170809200,10.9,46.2,4.1,529,0,0,0,0.34,TRUE
531,172278000,13.8,46.4,4,531,0,0,0,0.34,TRUE
532,172364400,15.7333,41.65,5.08,532,0,0,0,0.17,TRUE
533,174438000,13.6877,42.7291,4.2,533,73,0,1,0.2,TRUE
536,175906800,14.8333,37.5333,4.04,536,0,0,0,0.23,TRUE
537,175993200,14.6833,37.2667,4.3,537,72,0,1,0.34,TRUE
538,176857200,15.5333,38.4667,4.68,538,0,0,0,0.2,TRUE
539,177548400,16.3226,38.7306,4.33,539,0,0,0,0.27,TRUE
540,180226800,12.5167,37.9833,4.04,540,0,0,0,0.23,TRUE
541,183078000,17.3967,43.1119,4.73,541,0,0,0,0.28,TRUE
543,185328000,9.4333,44.6167,5.04,543,74,0,1,0.17,TRUE
544,188092800,15.6167,38.8167,4.14,544,0,0,0,0.23,TRUE
545,188870400,11.9251,44.4726,4.17,545,0,0,0,0.28,TRUE
546,193795200,15.7,44.1833,4.66,546,0,0,0,0.28,TRUE
547,194313600,14.45,43.35,4.12,547,0,0,0,0.28,TRUE
548,194832000,12.3167,43.6667,4.01,548,0,0,0,0.28,TRUE
550,197247600,10.35,45.1667,4.01,550,0,0,0,0.28,TRUE
551,197334000,16.9167,38.7167,4.34,551,0,0,0,0.23,TRUE
552,197593200,16.0167,38.65,4.9,552,0,0,0,0.29,TRUE
553,198889200,17.45,43.3833,4.79,553,0,0,0,0.16,TRUE
554,199753200,15.0333,37.85,4.46,554,0,0,0,0.21,TRUE
556,200185200,13.25,46.25,6.45,556,75,0,1,0.1,TRUE
570,201740400,11.8333,45.6667,4.2,570,0,0,0,0.2,TRUE
571,202258800,16.85,39.4333,4.24,571,0,0,0,0.23,TRUE
575,203209200,15.65,41.9,4.37,575,0,0,0,0.28,TRUE
581,206406000,9.5,46.8167,4.12,581,0,0,0,0.28,TRUE
582,209084400,15.4167,41.3833,4.29,582,0,0,0,0.28,TRUE
583,209516400,9.5,44.5667,4.47,583,0,0,0,0.16,TRUE
584,209775600,13.29,42.92,4.03,584,0,0,0,0.27,TRUE
585,209948400,11.3667,47.0667,4.04,585,0,0,0,0.23,TRUE
586,210553200,13.55,38.5833,4.14,586,0,0,0,0.23,TRUE
602,211590000,12.8,45.1667,4.14,602,0,0,0,0.23,TRUE
606,211762800,14.65,37.9833,4.5,606,0,0,0,0.16,TRUE
608,212108400,14.6333,38.6833,4.84,608,0,0,0,0.23,TRUE
609,213577200,9.5333,45.5833,4.06,609,0,0,0,0.28,TRUE
610,213922800,13.0667,37.8333,4.44,610,0,0,0,0.23,TRUE
612,214786800,18.9281,39.7249,4.87,612,76,0,1,0.2,TRUE
615,216259200,18.6,39.2167,4.14,615,0,0,0,0.23,TRUE
618,217728000,17.2833,42.75,4.83,618,0,0,0,0.28,TRUE
620,219283200,10.7833,45.8333,4.54,620,0,0,0,0.2,TRUE
622,220579200,13.5833,43.2,4.05,622,0,0,0,0.2,TRUE
623,221961600,17.1333,43.55,4.88,623,77,0,1,0.1,TRUE
624,222134400,8.9,44.8667,4.24,624,0,0,0,0.23,TRUE
626,224035200,7.3667,44.4167,4.14,626,0,0,0,0.23,TRUE
